" 
","Image
","Member
","Party
","Electorate
","State
","Term start
","Term end
","Portfolio
","Notes
"
" 
","
","Fred Bamford(1849–1934)
","Labour [i]
","Herbert
","Queensland
","30 March 1901
","3 October 1925
","
","Re-elected
"
" 
","
","(Sir) Edmund Barton(1849–1920)
","Protectionist [ii]
","Hunter
","New South Wales
","30 March 1901
","30 September 1903
","
Prime Minister from 1 January 1901 to 24 September 1903
Minister for External Affairs from 1 January 1901 to 24 September 1903
Leader of the Protectionist Party from 1 January 1901 to 24 September 1903
","Previously held the New South Wales Legislative Assembly seat of Hastings and Macleay. Resigned in order to become a Justice of the High Court
"
" 
","
","Lee Batchelor(1865–1911)
","Labour
","South Australia
","South Australia
","30 March 1901
","16 December 1903
","
","Previously held the South Australian House of Assembly seat of West Adelaide. Transferred to the Division of Boothby when South Australia was abolished in 1903
"
" 
","
","Sir Langdon Bonython(1848–1939)
","Protectionist
","South Australia
","South Australia
","30 March 1901
","16 December 1903
","
","Transferred to the Division of Barker when South Australia was abolished in 1903
"
" 
","
","Sir Edward Braddon(1829–1904)
","Free Trade [iii]
","Tasmania
","Tasmania
","29 March 1901
","16 December 1903
","
","Previously held the Tasmanian House of Assembly seat of West Devon. Transferred to the Division of Wilmot when Tasmania was abolished in 1903. Oldest member of the 1901-1903 House of Representatives
"
" 
","
","Thomas Brown(1861–1934)
","Labour
","Canobolas
","New South Wales
","29 March 1901
","12 December 1906
","
","Previously held the New South Wales Legislative Assembly seat of Condoublin. Re-elected
"
" 
","
","Norman Cameron(1851–1931)
","Free Trade
","Tasmania
","Tasmania
","29 March 1901
","16 December 1903
","
","Failed to win the Division of Denison when Tasmania was abolished in 1903. Later elected to the Division of Wilmot in 1904
"
" 
","
","John Chanter(1845–1931)
","Protectionist
","Riverina
","New South Wales
","29 March 1901
","16 December 1903
","
Chairman of Committees from 5 June 1901 to 22 October 1903
","Previously held the New South Wales Legislative Assembly seat of Deniliquin. Lost seat. Subsequently regained seat in a 1904 by-election after election results were declared void
"
" 
","
","Austin Chapman(1864–1926)
","Protectionist
","Eden-Monaro
","New South Wales
","29 March 1901
","12 January 1926
","
Chief Government Whip in the House from 17 May 1901 to 29 September 1903
Minister for Defence from 24 September 1903 to 27 April 1904
","Previously held the New South Wales Legislative Assembly seat of Braidwood. Re-elected
"
" 
","
","Francis Clarke(1857–1939)
","Protectionist
","Cowper
","New South Wales
","29 March 1901
","16 December 1903
","
Chief Government Whip in the House from 29 September 1903 to 1 March 1904
","Previously held the New South Wales Legislative Assembly seat of Hastings and Macleay. Lost seat
"
